OBJECTID,CODE,Designation,Designation Type,Add Date,Modified Date,Effective Date,Data Source,Source Accuracy,GLOBALID,Shape__Area,Shape__Length
1,RR,RR,PD,,5/14/2025 11:27:05 AM,,RP+5 Case 22257,IN,0da12449-c06b-4c5d-ab0a-631e22d7871d,22070.21484375,662.376595455695
2,RC,RC,PD,,5/14/2025 11:27:05 AM,,RP+5 Case 22257,IN,25e120ed-8ae8-4265-9fb6-643da6826925,62161.64453125,1464.04815262494
3,OS,OS,PD,,5/14/2025 11:27:05 AM,,RP+5 Case 22257,IN,5d8885be-cbe3-41a2-b203-3219cdbd95ab,2193.3671875,187.444600636103
4,OS,OS,PD,,5/14/2025 11:27:05 AM,,RP+5 Case 22257,IN,cafc11ae-952b-4e97-956a-63f1f6689095,46344.01171875,910.126386421037
5,US,US,PD,,5/21/2025 7:48:48 PM,1/31/2023 12:00:00 AM,Case 22384,IN,89d58383-43b5-4a80-bc20-a7f29a980f23,1846942.3515625,7528.3470792514
6,OS,OS,PD,,5/14/2025 11:27:05 AM,,RP+5 Case 22257,IN,8e6ad70a-8f3b-44e0-9b16-8e863da66c26,12822.640625,499.233383316991
7,OS,OS,PD,,5/14/2025 11:27:05 AM,,RP+5 Case 22257,IN,f65333ab-d076-4edc-8b76-0a03d0c26b46,7.37109375,16.6345794964487
8,OS,OS,PD,,5/14/2025 11:27:05 AM,,RP+5 Case 22257,IN,68c5f40f-23b8-49b0-9b3c-32ee2e8bb300,1602,185.5659043633
9,US,US,PD,,5/14/2025 11:27:05 AM,,RP+5 Case 22257,IN,05a3b5cd-d1e2-4eeb-82cd-dacc950c1ae1,59.91015625,34.229896197641
10,HARB,HH,PD,,5/14/2025 11:27:05 AM,,RP+5 Case 22257,IN,a7b6660a-1c40-45bd-97cd-9b566e9e2897,3130450.1953125,8846.47339859729
11,RR,RR,PD,,5/14/2025 11:27:05 AM,,RP+5 Case 22257,IN,67b8fd50-7b00-4284-9931-8349a8feb2a4,1049.14453125,153.66598297204
12,RC,RC,PD,,5/14/2025 11:27:05 AM,,RP+5 Case 22257,IN,28cf4097-9455-4421-b827-1ab835709c62,18721.9609375,600.43211102633
13,OS,OS,PD,,5/14/2025 11:27:05 AM,,RP+5 Case 22257,IN,61063583-8115-4468-96e3-eefdf0089ff8,1340.59765625,179.359210159561
14,RC,RC,PD,,5/14/2025 11:27:05 AM,,RP+5 Case 22257,IN,622c49b6-bcd7-4929-af21-7d4aed05da5f,833.9140625,155.035494623052
15,OS,OS,PD,,5/14/2025 11:27:05 AM,,RP+5 Case 22257,IN,6e3fe6f1-81b6-4e78-9868-49d568de0fc5,136969.2734375,1678.70345888625
16,OS,OS,PD,,5/14/2025 11:27:05 AM,,RP+5 Case 22257,IN,6270d9a8-8863-43d0-86de-6ebf94775546,4518.15625,299.811764497749
17,OS,OS,PD,,5/14/2025 11:27:05 AM,,RP+5 Case 22257,IN,9cc3f29b-5b7d-4be7-a956-5bdfaa6c3e02,4817774.08984375,19107.6026688524
18,OS,OS,PD,,5/14/2025 11:27:05 AM,,RP+5 Case 22257,IN,5d7f51c5-fa2d-4460-9fe1-053508cf32f1,4047.85546875,276.317781383796
19,OS,OS,PD,,5/14/2025 11:27:05 AM,,RP+5 Case 22257,IN,dec5623e-c490-4ff7-8089-94e57df6dfec,46779.0078125,911.157931818392
20,RR,RR,PD,,5/14/2025 11:27:05 AM,,RP+5 Case 22257,IN,495d9c92-2fcc-4846-95f0-fa9e66386e31,15742.94921875,628.927624215733
21,OS,OS,PD,,5/14/2025 11:27:05 AM,,RP+5 Case 22257,IN,a213f20c-6872-4bd6-b235-8de886567576,22895.45703125,599.249392205383
22,OS,OS,PD,,5/14/2025 11:27:05 AM,,RP+5 Case 22257,IN,0a8b99f0-2ac7-409b-a008-06071b4b6490,3220.125,251.652712405657
23,OS,OS,PD,,5/14/2025 11:27:05 AM,,RP+5 Case 22257,IN,8e355a5c-d41b-4168-b99f-e2bf87213d6a,1189.20703125,164.130351799917
24,RC,RC,PD,,5/14/2025 11:27:05 AM,,RP+5 Case 22257,IN,d4183fc4-a0f7-4eee-b3c2-3985474f151b,6070.1796875,328.788463416119
25,OS,OS,PD,,5/14/2025 11:27:05 AM,,RP+5 Case 22257,IN,1b66c6d0-61a5-4805-8abe-41535c921aa4,3594.0625,246.008109157228
26,RC,RC,PD,,5/14/2025 11:27:05 AM,,RP+5 Case 22257,IN,838da11b-1693-4fca-8d0e-ee29d8ac58cd,1076.4921875,153.187447993403
27,RC,RC,PD,,5/14/2025 11:27:05 AM,,RP+5 Case 22257,IN,cd77a0aa-b508-4071-b14f-dcb37a413ff6,90895.89453125,1572.43017634709
28,RC,RC,PD,,5/14/2025 11:27:05 AM,,RP+5 Case 22257,IN,302883f7-f8fd-492a-987d-224ce4df5171,42924.01953125,833.823286108139
29,OS,OS,PD,,5/14/2025 11:27:05 AM,,RP+5 Case 22257,IN,bb341dd2-b2fc-4a91-a674-43c8fb982bb9,14676.4375,620.69387740724
30,OS,OS,PD,,5/14/2025 11:27:05 AM,,RP+5 Case 22257,IN,b4ba3631-3601-4a56-9729-759a30643f23,24173.53515625,1049.86671163933
31,RC,RC,PD,,5/14/2025 11:27:05 AM,,RP+5 Case 22257,IN,c369b97f-69b6-4446-894d-4801402516fa,1697440.265625,8352.73227938176
32,OS,OS,PD,,5/14/2025 11:27:05 AM,,RP+5 Case 22257,IN,9e560b0d-a6f7-42f2-81f3-09499e3512cc,170826.0546875,1991.76733067039
