Rental Market Survey zone,ID,Year,Census year,Population,Households,Renter households,Percentage of renter households,Estimated percentage of affordable private market rental units (Composite measure),Estimated affordable private market rental units (1-person households),Estimated percentage of affordable private market rental units (1-person households),Estimated affordable private market rental units (2-person families),Estimated percentage of affordable private market rental units (2-person families),Estimated affordable private market rental units (3-person families),Estimated percentage of affordable private market rental units (3-person families),Estimated affordable private market rental units (4-person families),Estimated percentage of affordable private market rental units (4-person families),Percentage of renter households in core housing need,Renter households in core housing need,Estimated total rental units,Estimated primary market units,Estimated percentage of primary market units,Estimated secondary market condo units,Estimated percentage of secondary market condo units,Primary market vacancy rate,Change in primary market units,Percentage change in primary market units,Share of regional change in primary market units,Building permits issued,Building permits issued per square km,Amenity density (percentage of households)
Bedford,058008,2006,2006,15950,6245,1505,24.099999999999998,64.5,35,17.5,580,78.4,570,75.5,40,19.5,23.3,350,,,,,,,,,,,,
Bedford,058008,2007,2006,15950,6245,1505,24.099999999999998,64.5,35,17.5,580,78.4,570,75.5,40,19.5,23.3,350,,,,,,,,,,,,
Bedford,058008,2008,2006,15950,6245,1505,24.099999999999998,64.5,35,17.5,580,78.4,570,75.5,40,19.5,23.3,350,,,,,,,,,,,,
Bedford,058008,2009,2006,15950,6245,1505,24.099999999999998,64.5,35,17.5,580,78.4,570,75.5,40,19.5,23.3,350,,,,,,,,,,,,
Bedford,058008,2010,2006,15950,6245,1505,24.099999999999998,64.5,35,17.5,580,78.4,570,75.5,40,19.5,23.3,350,,,,,,2.8000000000000003,,,,,,
Bedford,058008,2011,2011,17900,7040,2065,29.299999999999997,71.6,95,38.800000000000004,880,84.6,825,73.7,120,43.6,20.1,415,2115,1238,58.5,295,13.900000000000002,2.5,63,5.4,12.2,,,
Bedford,058008,2012,2011,17900,7040,2065,29.299999999999997,71.6,95,38.800000000000004,880,84.6,825,73.7,120,43.6,20.1,415,2115,1238,58.5,295,13.900000000000002,4.3,13,1.0999999999999999,1.7999999999999998,,,
Bedford,058008,2013,2011,17900,7040,2065,29.299999999999997,71.6,95,38.800000000000004,880,84.6,825,73.7,120,43.6,20.1,415,2115,1238,58.5,295,13.900000000000002,1.5,0,0,0,,,
Bedford,058008,2014,2011,17900,7040,2065,29.299999999999997,71.6,95,38.800000000000004,880,84.6,825,73.7,120,43.6,20.1,415,2115,1238,58.5,295,13.900000000000002,4.2,-57,-4.6,-3.5999999999999996,,,
Bedford,058008,2015,2011,17900,7040,2065,29.299999999999997,71.6,95,38.800000000000004,880,84.6,825,73.7,120,43.6,20.1,415,2115,1238,58.5,295,13.900000000000002,2.3,13,1.0999999999999999,1,,,
Bedford,058008,2016,2016,19895,8170,3095,37.9,49.6,55,26.200000000000003,915,56.99999999999999,1025,49.9,250,37.9,17.8,550,3180,1275,40.1,305,9.6,2.7,68,5.6000000000000005,17.8,,,
Bedford,058008,2017,2016,19895,8170,3095,37.9,49.6,55,26.200000000000003,915,56.99999999999999,1025,49.9,250,37.9,17.8,550,3180,1275,40.1,305,9.6,1.3,578,45.300000000000004,33,,,
Bedford,058008,2018,2016,19895,8170,3095,37.9,49.6,55,26.200000000000003,915,56.99999999999999,1025,49.9,250,37.9,17.8,550,3180,1275,40.1,305,9.6,1.0999999999999999,46,2.5,2.6,,,
Bedford,058008,2019,2016,19895,8170,3095,37.9,49.6,55,26.200000000000003,915,56.99999999999999,1025,49.9,250,37.9,17.8,550,3180,1275,40.1,305,9.6,0.7000000000000001,94,4.9,5.3,,,
Bedford,058008,2020,2016,19895,8170,3095,37.9,49.6,55,26.200000000000003,915,56.99999999999999,1025,49.9,250,37.9,17.8,550,3180,1275,40.1,305,9.6,1.7999999999999998,-10,-0.5,-0.7000000000000001,,,
Bedford,058008,2021,2021,20231,8268,3005,36.3,56.2,35,17.5,910,64.8,980,58.3,190,40,18,540,3035,1984,65.4,390,12.8,1.0999999999999999,1,0.1,0.1,66,3.1,0 (High); 0 (Medium); 100 (Low)
Bedford,058008,2022,2021,20231,8268,3005,36.3,56.2,35,17.5,910,64.8,980,58.3,190,40,18,540,3035,1984,65.4,390,12.8,0.8999999999999999,0,0,0,90,4.3,
Dartmouth East,058007,2006,2006,53405,19685,3140,16,71.8,175,55.60000000000001,1035,85.5,1330,82.6,225,31.5,32.800000000000004,1030,,,,,,,,,,,,
Dartmouth East,058007,2007,2006,53405,19685,3140,16,71.8,175,55.60000000000001,1035,85.5,1330,82.6,225,31.5,32.800000000000004,1030,,,,,,,,,,,,
Dartmouth East,058007,2008,2006,53405,19685,3140,16,71.8,175,55.60000000000001,1035,85.5,1330,82.6,225,31.5,32.800000000000004,1030,,,,,,,,,,,,
Dartmouth East,058007,2009,2006,53405,19685,3140,16,71.8,175,55.60000000000001,1035,85.5,1330,82.6,225,31.5,32.800000000000004,1030,,,,,,,,,,,,
Dartmouth East,058007,2010,2006,53405,19685,3140,16,71.8,175,55.60000000000001,1035,85.5,1330,82.6,225,31.5,32.800000000000004,1030,,,,,,2.8000000000000003,,,,,,
Dartmouth East,058007,2011,2011,54855,20985,3865,18.4,71.39999999999999,230,53.5,1120,74.7,1470,73.5,620,69.69999999999999,29.4,1135,3950,1724,43.6,265,6.7,2.1999999999999997,62,3.6999999999999997,12,,,
Dartmouth East,058007,2012,2011,54855,20985,3865,18.4,71.39999999999999,230,53.5,1120,74.7,1470,73.5,620,69.69999999999999,29.4,1135,3950,1724,43.6,265,6.7,2.6,85,4.9,11.600000000000001,,,
Dartmouth East,058007,2013,2011,54855,20985,3865,18.4,71.39999999999999,230,53.5,1120,74.7,1470,73.5,620,69.69999999999999,29.4,1135,3950,1724,43.6,265,6.7,5.3,-12,-0.7000000000000001,-1.0999999999999999,,,
Dartmouth East,058007,2014,2011,54855,20985,3865,18.4,71.39999999999999,230,53.5,1120,74.7,1470,73.5,620,69.69999999999999,29.4,1135,3950,1724,43.6,265,6.7,7.199999999999999,258,14.399999999999999,16.2,,,
Dartmouth East,058007,2015,2011,54855,20985,3865,18.4,71.39999999999999,230,53.5,1120,74.7,1470,73.5,620,69.69999999999999,29.4,1135,3950,1724,43.6,265,6.7,5.3,122,5.8999999999999995,9.5,,,
Dartmouth East,058007,2016,2016,53915,21510,4625,21.5,71.1,215,58.9,1250,80.4,1670,68.30000000000001,860,68.5,28.999999999999996,1340,4730,2061,43.6,215,4.5,2.3,-116,-5.3,-30.3,,,
Dartmouth East,058007,2017,2016,53915,21510,4625,21.5,71.1,215,58.9,1250,80.4,1670,68.30000000000001,860,68.5,28.999999999999996,1340,4730,2061,43.6,215,4.5,1.0999999999999999,301,14.6,17.2,,,
Dartmouth East,058007,2018,2016,53915,21510,4625,21.5,71.1,215,58.9,1250,80.4,1670,68.30000000000001,860,68.5,28.999999999999996,1340,4730,2061,43.6,215,4.5,1.7000000000000002,-3,-0.1,-0.2,,,
Dartmouth East,058007,2019,2016,53915,21510,4625,21.5,71.1,215,58.9,1250,80.4,1670,68.30000000000001,860,68.5,28.999999999999996,1340,4730,2061,43.6,215,4.5,0.8,116,4.9,6.5,,,
Dartmouth East,058007,2020,2016,53915,21510,4625,21.5,71.1,215,58.9,1250,80.4,1670,68.30000000000001,860,68.5,28.999999999999996,1340,4730,2061,43.6,215,4.5,1.0999999999999999,54,2.1999999999999997,3.5000000000000004,,,
Dartmouth East,058007,2021,2021,55025,21993,4910,22.3,71.2,200,47.599999999999994,1195,79.9,1525,71.3,725,68.10000000000001,22.5,1105,5015,2448,48.8,250,5,2.1,-81,-3.2,-7.1,131,2.2,0 (High); 6.3 (Medium); 93.7 (Low)
Dartmouth East,058007,2022,2021,55025,21993,4910,22.3,71.2,200,47.599999999999994,1195,79.9,1525,71.3,725,68.10000000000001,22.5,1105,5015,2448,48.8,250,5,1.7999999999999998,68,2.8000000000000003,4.9,140,2.4,
Dartmouth North,058005,2006,2006,22045,11310,7580,67,82.6,1085,51.5,3760,96.39999999999999,2545,96.2,270,43.2,33.800000000000004,2560,,,,,,,,,,,,
Dartmouth North,058005,2007,2006,22045,11310,7580,67,82.6,1085,51.5,3760,96.39999999999999,2545,96.2,270,43.2,33.800000000000004,2560,,,,,,,,,,,,
Dartmouth North,058005,2008,2006,22045,11310,7580,67,82.6,1085,51.5,3760,96.39999999999999,2545,96.2,270,43.2,33.800000000000004,2560,,,,,,,,,,,,
Dartmouth North,058005,2009,2006,22045,11310,7580,67,82.6,1085,51.5,3760,96.39999999999999,2545,96.2,270,43.2,33.800000000000004,2560,,,,,,,,,,,,
Dartmouth North,058005,2010,2006,22045,11310,7580,67,82.6,1085,51.5,3760,96.39999999999999,2545,96.2,270,43.2,33.800000000000004,2560,,,,,,5.7,,,,,,
Dartmouth North,058005,2011,2011,21890,11535,8050,69.8,88.4,1550,69.39999999999999,4115,97.39999999999999,2830,92.9,695,77.7,37.7,3035,8525,6210,72.8,195,2.3,5.6000000000000005,-5,-0.1,-1,,,
Dartmouth North,058005,2012,2011,21890,11535,8050,69.8,88.4,1550,69.39999999999999,4115,97.39999999999999,2830,92.9,695,77.7,37.7,3035,8525,6210,72.8,195,2.3,5.800000000000001,-21,-0.3,-2.9000000000000004,,,
Dartmouth North,058005,2013,2011,21890,11535,8050,69.8,88.4,1550,69.39999999999999,4115,97.39999999999999,2830,92.9,695,77.7,37.7,3035,8525,6210,72.8,195,2.3,3.6999999999999997,114,1.7999999999999998,10.6,,,
Dartmouth North,058005,2014,2011,21890,11535,8050,69.8,88.4,1550,69.39999999999999,4115,97.39999999999999,2830,92.9,695,77.7,37.7,3035,8525,6210,72.8,195,2.3,4.3999999999999995,99,1.6,6.2,,,
Dartmouth North,058005,2015,2011,21890,11535,8050,69.8,88.4,1550,69.39999999999999,4115,97.39999999999999,2830,92.9,695,77.7,37.7,3035,8525,6210,72.8,195,2.3,5,43,0.7000000000000001,3.3000000000000003,,,
Dartmouth North,058005,2016,2016,22270,11955,8420,70.39999999999999,82.89999999999999,1180,57.4,4030,91.5,2670,86.7,600,87,35,2950,8780,6746,76.8,205,2.3,4.1000000000000005,301,4.7,78.60000000000001,,,
Dartmouth North,058005,2017,2016,22270,11955,8420,70.39999999999999,82.89999999999999,1180,57.4,4030,91.5,2670,86.7,600,87,35,2950,8780,6746,76.8,205,2.3,2.9000000000000004,173,2.6,9.9,,,
Dartmouth North,058005,2018,2016,22270,11955,8420,70.39999999999999,82.89999999999999,1180,57.4,4030,91.5,2670,86.7,600,87,35,2950,8780,6746,76.8,205,2.3,3.5000000000000004,56,0.8,3.2,,,
Dartmouth North,058005,2019,2016,22270,11955,8420,70.39999999999999,82.89999999999999,1180,57.4,4030,91.5,2670,86.7,600,87,35,2950,8780,6746,76.8,205,2.3,2.1,-61,-0.8999999999999999,-3.4000000000000004,,,
Dartmouth North,058005,2020,2016,22270,11955,8420,70.39999999999999,82.89999999999999,1180,57.4,4030,91.5,2670,86.7,600,87,35,2950,8780,6746,76.8,205,2.3,1.3,35,0.5,2.3,,,
Dartmouth North,058005,2021,2021,24730,12879,9335,72.5,80.60000000000001,1280,54,4225,91.2,2685,85.9,615,77.8,26.5,2475,9455,6939,73.4,395,4.2,1.3,-10,-0.1,-0.8999999999999999,121,4.1,0 (High); 22.7 (Medium); 77.3 (Low)
Dartmouth North,058005,2022,2021,24730,12879,9335,72.5,80.60000000000001,1280,54,4225,91.2,2685,85.9,615,77.8,26.5,2475,9455,6939,73.4,395,4.2,1.9,-12,-0.2,-0.8999999999999999,123,4.1,
Dartmouth South,058006,2006,2006,24615,10305,3975,38.6,74.7,355,43.8,1610,95.8,1590,89.8,225,28.1,29.2,1160,,,,,,,,,,,,
Dartmouth South,058006,2007,2006,24615,10305,3975,38.6,74.7,355,43.8,1610,95.8,1590,89.8,225,28.1,29.2,1160,,,,,,,,,,,,
Dartmouth South,058006,2008,2006,24615,10305,3975,38.6,74.7,355,43.8,1610,95.8,1590,89.8,225,28.1,29.2,1160,,,,,,,,,,,,
Dartmouth South,058006,2009,2006,24615,10305,3975,38.6,74.7,355,43.8,1610,95.8,1590,89.8,225,28.1,29.2,1160,,,,,,,,,,,,
Dartmouth South,058006,2010,2006,24615,10305,3975,38.6,74.7,355,43.8,1610,95.8,1590,89.8,225,28.1,29.2,1160,,,,,,3,,,,,,
Dartmouth South,058006,2011,2011,25320,10975,4025,36.7,87.1,520,64.60000000000001,1680,100,1555,93.10000000000001,535,69.5,33.5,1350,4150,2367,56.99999999999999,100,2.4,3.1,72,3.1,14.000000000000002,,,
Dartmouth South,058006,2012,2011,25320,10975,4025,36.7,87.1,520,64.60000000000001,1680,100,1555,93.10000000000001,535,69.5,33.5,1350,4150,2367,56.99999999999999,100,2.4,3.5999999999999996,-64,-2.7,-8.799999999999999,,,
Dartmouth South,058006,2013,2011,25320,10975,4025,36.7,87.1,520,64.60000000000001,1680,100,1555,93.10000000000001,535,69.5,33.5,1350,4150,2367,56.99999999999999,100,2.4,5.4,10,0.4,0.8999999999999999,,,
